,model,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,mse,rmse,mae,r2
159,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,4,10,100,1705.7535753021577,41.300769669609764,6.915847756821202,0.992538272342689
132,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,4,10,100,1705.7535753021577,41.300769669609764,6.915847756821202,0.992538272342689
124,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,2,10,200,1708.5563934929144,41.33468753351009,6.197394816785484,0.9925260115646287
151,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,2,10,200,1708.5563934929144,41.33468753351009,6.197394816785484,0.9925260115646287
160,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,4,10,200,1709.167371998439,41.342077499787536,6.852844066518713,0.9925233388718795
133,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,4,10,200,1709.167371998439,41.342077499787536,6.852844066518713,0.9925233388718795
79,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,4,10,200,1782.1057904308998,42.21499485290623,6.949524685849889,0.9922042736669294
106,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,4,10,200,1782.1057904308998,42.21499485290623,6.949524685849889,0.9922042736669294
107,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,4,10,300,1784.2192614066482,42.2400196662673,6.956010277691549,0.9921950284013407
80,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,4,10,300,1784.2192614066482,42.2400196662673,6.956010277691549,0.9921950284013407
73,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,4,2,200,1795.489121118762,42.373212305875064,6.904143490030346,0.9921457290036284
100,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,4,2,200,1795.489121118762,42.373212305875064,6.904143490030346,0.9921457290036284
103,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,4,5,200,1795.489121118762,42.373212305875064,6.904143490030346,0.9921457290036284
76,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,4,5,200,1795.489121118762,42.373212305875064,6.904143490030346,0.9921457290036284
128,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,4,2,300,1830.6084223690211,42.7856099917837,6.891391126460869,0.9919921015012513
131,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,4,5,300,1830.6084223690211,42.7856099917837,6.891391126460869,0.9919921015012513
155,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,4,2,300,1830.6084223690211,42.7856099917837,6.891391126460869,0.9919921015012513
158,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,4,5,300,1830.6084223690211,42.7856099917837,6.891391126460869,0.9919921015012513
102,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,4,5,100,1837.1125547183979,42.86155100691525,6.9451587388188605,0.9919636495226415
99,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,4,2,100,1837.1125547183979,42.86155100691525,6.9451587388188605,0.9919636495226415
72,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,4,2,100,1837.1125547183979,42.86155100691525,6.9451587388188605,0.9919636495226415
75,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,4,5,100,1837.1125547183979,42.86155100691525,6.9451587388188605,0.9919636495226415
41,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,2,5,300,1842.790509958515,42.927735905338814,12.867958722780365,0.9919388116115472
14,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,2,5,300,1842.790509958515,42.927735905338814,12.867958722780365,0.9919388116115472
105,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,log2,4,10,100,1868.1647745056932,43.22227174161133,7.012314297368224,0.9918278132502968
78,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",20.0,sqrt,4,10,100,1868.1647745056932,43.22227174161133,7.012314297368224,0.9918278132502968
11,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,2,2,300,1869.1898359831428,43.23412813950505,13.02150528975233,0.9918233291737646
38,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,2,2,300,1869.1898359831428,43.23412813950505,13.02150528975233,0.9918233291737646
40,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,2,5,200,1871.450804016003,43.26026819167911,13.06901706643149,0.9918134386901992
