,model,model__activation,model__alpha,model__hidden_layer_sizes,model__learning_rate,model__max_iter,model__solver,mse,rmse,mae,r2
40,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.01,"(50,)",constant,500,adam,7506.10373514826,86.63777314282876,21.699451374545855,0.9671649512273309
24,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.0001,"(50,)",constant,500,adam,7730.235458788801,87.92175759610815,21.345627944672884,0.9661844990064565
25,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.0001,"(50,)",adaptive,500,adam,7730.235458788801,87.92175759610815,21.345627944672884,0.9661844990064565
32,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.001,"(50,)",constant,500,adam,7750.483856008495,88.03683238286402,21.34550241392854,0.9660959234772957
33,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.001,"(50,)",adaptive,500,adam,7750.483856008495,88.03683238286402,21.34550241392854,0.9660959234772957
43,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.01,"(100,)",adaptive,500,adam,8453.115144607324,91.94082414579131,21.844917597981237,0.9630223005372991
42,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.01,"(100,)",constant,500,adam,8453.115144607324,91.94082414579131,21.844917597981237,0.9630223005372991
45,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.01,"(50, 50)",adaptive,500,adam,8816.392722976198,93.89564805131384,26.0054403054659,0.961433162227379
44,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.01,"(50, 50)",constant,500,adam,8816.392722976198,93.89564805131384,26.0054403054659,0.961433162227379
26,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.0001,"(100,)",constant,500,adam,11123.906322616622,105.46993089320112,28.898331336863915,0.9513390675730511
27,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.0001,"(100,)",adaptive,500,adam,11123.906322616622,105.46993089320112,28.898331336863915,0.9513390675730511
34,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.001,"(100,)",constant,500,adam,11165.18791751726,105.66545280988134,28.97842249113833,0.9511584834471445
35,"MLPRegressor(activation='tanh', alpha=0.01, hidden_layer_sizes=(100, 50),
             learning_rate='adaptive', max_iter=500, random_state=42)",tanh,0.001,"(100,)",adaptive,500,adam,11165.18791751726,105.66545280988134,28.97842249113833,0.9511584834471445
